,epoch,daz,cc_azi,cc_range,daz_iono,daz_SET,drg_iono_mm,dTECS,drg_SET_mm
67,2021-11-05,-0.00347341,0.01872,0.23085,,3.305756031260627e-05,203.84915363114462,1.4774304996043424e+17,-142.42469744080287
68,2021-11-11,-0.00501291,-0.01188,0.09186,,-0.002085647538045084,151.95542773571916,1.1013221272598643e+17,106.319215297976
69,2021-11-17,-0.00304026,0.02089,0.09334,,-5.274794405292506e-05,82.98445245575262,6.014435619043142e+16,-73.64260172144088
70,2021-11-23,0.00676834,0.00507,0.09982,,-0.0007484480103173213,156.1014519444155,1.1313711243192765e+17,-33.58444503984076
71,2021-11-29,-0.00575664,0.00879,0.1241,,-0.000945556973212092,187.81432039761557,1.3612153902781997e+17,94.74924758335895
72,2021-12-05,0.000262561,-0.00041,0.15434,,-6.406593266989554e-05,125.29847178297557,9.081214244379334e+16,-136.33974682053267
73,2021-12-11,-0.00156327,0.01337,0.01032,,-0.0008130505988545266,-33.41935747570251,-2.4221232775449536e+16,118.78208244708921
74,2021-12-17,-0.00654988,-0.0092,0.08208,,0.0005190691598249095,111.72153124464296,8.09720299462242e+16,-83.4081856968896
75,2022-01-04,-0.00746302,0.00854,0.14808,,-0.0003987523963891598,98.75357369718554,7.157328795642144e+16,-101.78049066660083
76,2022-01-28,-0.00421952,0.00848,0.24405,,0.0019025102170806293,320.6495010358869,2.3239603602698234e+17,29.55227633021398
77,2022-02-09,-0.00866132,0.00605,0.16669,,0.0017903197543190387,269.2394229029078,1.9513573051786938e+17,76.79575162921701
78,2022-02-21,-0.00332402,0.01186,0.32082,,0.001378966662389183,431.3514709160216,3.126291219897214e+17,44.77410447837677
79,2022-03-05,0.00721165,0.02073,0.42975,,0.0006640016724577261,649.3509608655738,4.706278625351179e+17,-51.45335775353851
80,2017-01-06,-0.0201148,0.01633,-0.00902,,0.0006296189458648445,46.189758928036504,3.347679271366221e+16,137.7944847637885
81,2017-01-30,-0.018332,0.00788,0.10362,,8.277258707876277e-05,59.10333172039595,4.283611845156301e+16,-66.28322358688087
82,2017-02-23,-0.0176289,0.01559,0.15857,,0.0007297377042188336,217.17698650418282,1.5740261755220646e+17,-37.62370213412161
83,2017-03-07,-0.0170019,0.03169,0.17673,,0.0017261079037275211,365.98858267876307,2.6525628629049018e+17,68.269160230066
84,2017-03-19,-0.0180386,0.01869,0.10756,,0.0018045394869174996,107.6090274836518,7.799142473987635e+16,67.96537062713423
85,2017-03-31,-0.0212116,0.02874,0.13521,,0.0016671597684133864,199.81693541910317,1.4482063303526534e+17,-13.410414975980594
86,2017-04-12,-0.0247444,0.02777,0.16065,,0.00012367817874233954,207.82583924287863,1.506252187138766e+17,-102.90144919407403
